"Id","Any","Mes","Dia","DiaDeLaSetmana","Hora_enter","Lloc_interes","Latitud","Longitud","Max_Nivell_LAeq_1h","Min_Nivell_LAeq_1h","Nivell_LAeq_1h","Categoria_Nivell"
154,2023,1,1,"diumenge",17,"El Molino","41.37485","2.166773","87.6","60.1","69.9",4
155,2023,1,1,"diumenge",17,"Plaça de Joanic",41406,"2.162636","90.8","53.1","65.8",4
156,2023,1,1,"diumenge",17,"Mercat de Sant Antoni","41.378803","2.160936","95.7","43.7","63.1",4
157,2023,1,1,"diumenge",17,"Plaça de la Virreina","41.405117","2.157312","93.3","34.7","59.7",5
158,2023,1,1,"diumenge",17,"Rambla","41.378242","2.175112","88.1","50.2","59.9",3
159,2023,1,1,"diumenge",17,"Plaça de la Vila de Gracia","41.400471","2.157441",94,"34.8","64.2",5
160,2023,1,1,"diumenge",17,"Sagrada Familia","41.404484","2.174691","91.4","46.5","64.8",5
161,2023,1,1,"diumenge",17,"Mercat del Born","41.387076","2.180426","91.7","39.7","63.9",5
162,2023,1,1,"diumenge",17,"Torre Agbar","41.402124","2.184799","80.8","53.4","65.5",5
163,2023,1,1,"diumenge",18,"Rambla","41.378242","2.175112","88.1","50.2",75,7
164,2023,1,1,"diumenge",18,"El Molino","41.37485","2.166773","87.6","60.1","70.3",4
165,2023,1,1,"diumenge",18,"Mercat de Sant Antoni","41.378803","2.160936","95.7","43.7",60,4
166,2023,1,1,"diumenge",18,"Mercat del Born","41.387076","2.180426","91.7","39.7","61.6",5
167,2023,1,1,"diumenge",18,"Plaça de Joanic",41406,"2.162636","90.8","53.1","67.4",4
168,2023,1,1,"diumenge",18,"Plaça de la Virreina","41.405117","2.157312","93.3","34.7","58.9",5
169,2023,1,1,"diumenge",18,"Plaça de la Vila de Gracia","41.400471","2.157441",94,"34.8","61.4",5
170,2023,1,1,"diumenge",18,"Sagrada Familia","41.404484","2.174691","91.4","46.5","64.3",4
171,2023,1,1,"diumenge",18,"Torre Agbar","41.402124","2.184799","80.8","53.4","63.6",4
172,2023,1,1,"diumenge",19,"Torre Agbar","41.402124","2.184799","80.8","53.4","64.1",4
173,2023,1,1,"diumenge",19,"Mercat del Born","41.387076","2.180426","91.7","39.7","64.8",5
174,2023,1,1,"diumenge",19,"Mercat de Sant Antoni","41.378803","2.160936","95.7","43.7","60.7",4
175,2023,1,1,"diumenge",19,"Plaça de la Virreina","41.405117","2.157312","93.3","34.7","57.8",4
176,2023,1,1,"diumenge",19,"Plaça de Joanic",41406,"2.162636","90.8","53.1","65.6",4
177,2023,1,1,"diumenge",19,"Rambla","41.378242","2.175112","88.1","50.2","61.9",4
178,2023,1,1,"diumenge",19,"Plaça de la Vila de Gracia","41.400471","2.157441",94,"34.8","58.9",5
179,2023,1,1,"diumenge",19,"Sagrada Familia","41.404484","2.174691","91.4","46.5","61.5",4
