Suma de Any,Suma de Categoria_Nivell,Suma de Dia,DiaDeLaSetmana,Hora,Recompte de Id,Latitud,Lloc_interes,Id_Instal,Longitud,Suma de Max_Nivell_LAeq_1h,Suma de Mes,Suma de Min_Nivell_LAeq_1h,Suma de Nivell_LAeq_1h
97104,201,745,dijous,1899-12-30 20:00:00,48,"41,406",Plaça de Joanic,7306,"2,162636",4358.400000000003,299,2548.799999999998,3244.3
103173,208,794,dijous,1899-12-30 21:00:00,51,"41,37485",Sant Maria del Mar,497,"2,166773",4467.5999999999985,329,3065.099999999997,3580.2000000000007
103173,203,794,dijous,1899-12-30 21:00:00,51,"41,378803",Mercat de Sant Antoni,5766,"2,160936",4880.699999999995,329,2228.7000000000007,3132.6999999999994
103173,206,794,dijous,1899-12-30 21:00:00,51,"41,404484",Sagrada Familia,6756,"2,174691",4661.400000000001,329,2371.5,3175.1000000000004
97104,192,745,dijous,1899-12-30 21:00:00,48,"41,406",Plaça de Joanic,7306,"2,162636",4358.400000000003,299,2548.799999999998,3188.7000000000003
103173,199,794,dijous,1899-12-30 22:00:00,51,"41,37485",Sant Maria del Mar,497,"2,166773",4467.5999999999985,329,3065.099999999997,3539.3999999999996
103173,170,794,dijous,1899-12-30 22:00:00,51,"41,378803",Mercat de Sant Antoni,5766,"2,160936",4880.699999999995,329,2228.7000000000007,3009.2
103173,206,794,dijous,1899-12-30 22:00:00,51,"41,404484",Sagrada Familia,6756,"2,174691",4661.400000000001,329,2371.5,3166.9
97104,180,745,dijous,1899-12-30 22:00:00,48,"41,406",Plaça de Joanic,7306,"2,162636",4358.400000000003,299,2548.799999999998,3124.7
103173,178,794,dijous,1899-12-30 23:00:00,51,"41,37485",Sant Maria del Mar,497,"2,166773",4467.5999999999985,329,3065.099999999997,3486.2000000000007
103173,184,794,dijous,1899-12-30 23:00:00,51,"41,378803",Mercat de Sant Antoni,5766,"2,160936",4880.699999999995,329,2228.7000000000007,3053.2999999999997
103173,193,794,dijous,1899-12-30 23:00:00,51,"41,404484",Sagrada Familia,6756,"2,174691",4661.400000000001,329,2371.5,3126.500000000001
97104,178,745,dijous,1899-12-30 23:00:00,48,"41,406",Plaça de Joanic,7306,"2,162636",4358.400000000003,299,2548.799999999998,3130.7999999999997
101150,146,773,dilluns,1899-12-30 00:00:00,50,"41,37485",Sant Maria del Mar,497,"2,166773",4379.999999999998,321,3004.9999999999973,3336.6000000000004
101150,142,773,dilluns,1899-12-30 00:00:00,50,"41,378803",Mercat de Sant Antoni,5766,"2,160936",4784.999999999995,321,2185.000000000001,2800.1
103173,197,793,dilluns,1899-12-30 00:00:00,51,"41,404484",Sagrada Familia,6756,"2,174691",4661.400000000001,324,2371.5,3124.1
95081,150,719,dilluns,1899-12-30 00:00:00,47,"41,406",Plaça de Joanic,7306,"2,162636",4267.600000000003,291,2495.699999999998,2964.2999999999993
101150,124,773,dilluns,1899-12-30 01:00:00,50,"41,37485",Sant Maria del Mar,497,"2,166773",4379.999999999998,321,3004.9999999999973,3288.1999999999994
101150,137,773,dilluns,1899-12-30 01:00:00,50,"41,378803",Mercat de Sant Antoni,5766,"2,160936",4784.999999999995,321,2185.000000000001,2757.5000000000005
103173,166,793,dilluns,1899-12-30 01:00:00,51,"41,404484",Sagrada Familia,6756,"2,174691",4661.400000000001,324,2371.5,3002.8
95081,114,719,dilluns,1899-12-30 01:00:00,47,"41,406",Plaça de Joanic,7306,"2,162636",4267.600000000003,291,2495.699999999998,2844.2000000000007
101150,118,773,dilluns,1899-12-30 02:00:00,50,"41,37485",Sant Maria del Mar,497,"2,166773",4379.999999999998,321,3004.9999999999973,3262.9
101150,86,773,dilluns,1899-12-30 02:00:00,50,"41,378803",Mercat de Sant Antoni,5766,"2,160936",4784.999999999995,321,2185.000000000001,2522.0000000000005
103173,121,793,dilluns,1899-12-30 02:00:00,51,"41,404484",Sagrada Familia,6756,"2,174691",4661.400000000001,324,2371.5,2797.7
95081,103,719,dilluns,1899-12-30 02:00:00,47,"41,406",Plaça de Joanic,7306,"2,162636",4267.600000000003,291,2495.699999999998,2808.899999999999
101150,112,773,dilluns,1899-12-30 03:00:00,50,"41,37485",Sant Maria del Mar,497,"2,166773",4379.999999999998,321,3004.9999999999973,3253.7000000000003
101150,75,773,dilluns,1899-12-30 03:00:00,50,"41,378803",Mercat de Sant Antoni,5766,"2,160936",4784.999999999995,321,2185.000000000001,2456.6000000000004
103173,90,793,dilluns,1899-12-30 03:00:00,51,"41,404484",Sagrada Familia,6756,"2,174691",4661.400000000001,324,2371.5,2667.1000000000004
95081,104,719,dilluns,1899-12-30 03:00:00,47,"41,406",Plaça de Joanic,7306,"2,162636",4267.600000000003,291,2495.699999999998,2805.7999999999997
101150,76,773,dilluns,1899-12-30 04:00:00,50,"41,37485",Sant Maria del Mar,497,"2,166773",4379.999999999998,321,3004.9999999999973,3147.7
101150,63,773,dilluns,1899-12-30 04:00:00,50,"41,378803",Mercat de Sant Antoni,5766,"2,160936",4784.999999999995,321,2185.000000000001,2397.1
103173,80,793,dilluns,1899-12-30 04:00:00,51,"41,404484",Sagrada Familia,6756,"2,174691",4661.400000000001,324,2371.5,2614.800000000001
95081,90,719,dilluns,1899-12-30 04:00:00,47,"41,406",Plaça de Joanic,7306,"2,162636",4267.600000000003,291,2495.699999999998,2744.2000000000007
